ENSG00000198851
ENSG00000135426
ENSG00000115085
ENSG00000100351
ENSG00000198821
ENSG00000113263
ENSG00000150637
ENSG00000081237
ENSG00000141293
ENSG00000160185
ENSG00000198286
ENSG00000182866
ENSG00000065675
ENSG00000074966
ENSG00000107485
ENSG00000167286
