ENSG00000167508
ENSG00000147155
ENSG00000160285
ENSG00000112972
ENSG00000186480
ENSG00000132196
ENSG00000172893
ENSG00000104549
ENSG00000079459
ENSG00000147383
ENSG00000160752
ENSG00000067064
ENSG00000109929
ENSG00000052802
ENSG00000113161
ENSG00000110921
ENSG00000001630
ENSG00000116133
ENSG00000149809
ENSG00000130164
ENSG00000198911
